weather_station_id,variable_name,value,timestamp
7,WD_avg,311.9,2023-08-29 02:25:00
7,WS_avg,2.716,2023-08-29 02:30:00
7,WD_avg,322.9,2023-08-29 02:30:00
7,WS_avg,2.578,2023-08-29 02:35:00
7,WD_avg,310.6,2023-08-29 02:35:00
7,WS_avg,2.992,2023-08-29 02:40:00
7,WD_avg,315.1,2023-08-29 02:40:00
7,WS_avg,2.395,2023-08-29 02:45:00
7,WD_avg,298,2023-08-29 02:45:00
7,WS_avg,2.533,2023-08-29 02:50:00
7,WD_avg,292.8,2023-08-29 02:50:00
7,WS_avg,1.913,2023-08-29 02:55:00
7,WD_avg,274.1,2023-08-29 02:55:00
7,WS_avg,2.237,2023-08-29 03:00:00
7,WD_avg,295.5,2023-08-29 03:00:00
8,WS_avg,2.366,2023-08-29 02:00:00
8,WD_avg,183.1,2023-08-29 02:00:00
8,WS_avg,2.234,2023-08-29 02:05:00
8,WD_avg,210.4,2023-08-29 02:05:00
8,WS_avg,2.547,2023-08-29 02:10:00
8,WD_avg,224.2,2023-08-29 02:10:00
8,WS_avg,2.318,2023-08-29 02:15:00
8,WD_avg,228.6,2023-08-29 02:15:00
8,WS_avg,2.618,2023-08-29 02:20:00
8,WD_avg,188.6,2023-08-29 02:20:00
8,WS_avg,1.86,2023-08-29 02:25:00
8,WD_avg,203.9,2023-08-29 02:25:00
8,WS_avg,2.375,2023-08-29 02:30:00
8,WD_avg,237.8,2023-08-29 02:30:00
8,WS_avg,2.079,2023-08-29 02:35:00
8,WD_avg,260.1,2023-08-29 02:35:00
8,WS_avg,2.098,2023-08-29 02:40:00
8,WD_avg,234.1,2023-08-29 02:40:00
8,WS_avg,1.99,2023-08-29 02:45:00
8,WD_avg,214.4,2023-08-29 02:45:00
8,WS_avg,2.21,2023-08-29 02:50:00
8,WD_avg,270,2023-08-29 02:50:00
8,WS_avg,2.313,2023-08-29 02:55:00
8,WD_avg,230.2,2023-08-29 02:55:00
8,WS_avg,1.892,2023-08-29 03:00:00
8,WD_avg,187.6,2023-08-29 03:00:00
9,GHI_inst,120.9,2023-08-29 02:05:00
9,AirT_inst,21.88,2023-08-29 02:05:00
9,GHI_inst,127.8,2023-08-29 02:10:00
9,AirT_inst,21.79,2023-08-29 02:10:00
9,GHI_inst,147,2023-08-29 02:15:00
9,AirT_inst,21.29,2023-08-29 02:15:00
9,GHI_inst,129.3,2023-08-29 02:20:00
9,AirT_inst,20.81,2023-08-29 02:20:00
9,GHI_inst,110.6,2023-08-29 02:25:00
9,AirT_inst,20.7,2023-08-29 02:25:00
9,GHI_inst,113.5,2023-08-29 02:30:00
9,AirT_inst,20.46,2023-08-29 02:30:00
9,GHI_inst,108.6,2023-08-29 02:35:00
9,AirT_inst,20.25,2023-08-29 02:35:00
9,GHI_inst,114.1,2023-08-29 02:40:00
9,AirT_inst,20.02,2023-08-29 02:40:00
9,GHI_inst,116.4,2023-08-29 02:45:00
9,AirT_inst,20.1,2023-08-29 02:45:00
9,GHI_inst,106.5,2023-08-29 02:50:00
9,AirT_inst,20,2023-08-29 02:50:00
9,GHI_inst,103.4,2023-08-29 02:55:00
9,AirT_inst,20.14,2023-08-29 02:55:00
9,GHI_inst,126.6,2023-08-29 03:00:00
9,AirT_inst,19.9,2023-08-29 03:00:00
10,GHI_inst,746.9,2023-08-28 02:00:00
10,AirT_inst,17.71,2023-08-28 02:00:00
10,GHI_inst,746.8,2023-08-28 02:00:00
10,AirT_inst,17.57,2023-08-28 02:00:00
10,GHI_inst,750,2023-08-28 02:00:00
10,AirT_inst,17.82,2023-08-28 02:00:00
10,GHI_inst,747.8,2023-08-28 02:00:00
10,AirT_inst,18.4,2023-08-28 02:00:00
10,GHI_inst,743.6,2023-08-28 02:00:00
10,AirT_inst,18.2,2023-08-28 02:00:00
10,GHI_inst,740.8,2023-08-28 02:00:00
10,AirT_inst,18.65,2023-08-28 02:00:00
10,GHI_inst,737.2,2023-08-28 02:00:00
10,AirT_inst,17.87,2023-08-28 02:00:00
10,GHI_inst,735.1,2023-08-28 02:00:00
10,AirT_inst,18.47,2023-08-28 02:00:00
10,GHI_inst,734.1,2023-08-28 02:00:00
10,AirT_inst,18.85,2023-08-28 02:00:00
10,GHI_inst,733.6,2023-08-28 02:00:00
10,AirT_inst,18.48,2023-08-28 02:00:00
10,GHI_inst,728.4,2023-08-28 02:00:00
10,AirT_inst,18.6,2023-08-28 02:00:00
10,GHI_inst,721.7,2023-08-28 02:00:00
10,AirT_inst,18.41,2023-08-28 02:00:00
10,GHI_inst,733.4,2023-08-28 02:00:00
10,AirT_inst,18.57,2023-08-28 02:00:00
